TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 17:46:55; 0.054413; 13.2782; 111; 0.5136
2026-01-15 17:46:58; 0.106304; 10.4811; 88; 0.6248
2026-01-15 17:47:02; 0.122469; 13.2095; 107; 0.5558
2026-01-15 17:47:05; 0.109501; 12.2024; 99; 0.6101
2026-01-15 17:47:09; 0.040417; 5.1213; 46; 0.4383
2026-01-15 17:47:12; 0.063267; 8.2527; 74; 0.6292
2026-01-15 17:47:16; 0.120223; 15.2853; 129; 0.6117
2026-01-15 17:47:19; 0.042689; 8.9397; 73; 0.7323
2026-01-15 17:47:23; 0.056793; 7.1426; 60; 0.4914
2026-01-15 17:47:26; 0.082091; 12.9581; 102; 0.6240
2026-01-15 17:47:30; 0.076475; 10.9497; 96; 0.4642
2026-01-15 17:47:33; 0.041654; 10.5811; 89; 0.6130
2026-01-15 17:47:37; 0.100971; 9.1497; 78; 0.5602
2026-01-15 17:47:40; 0.010242; 0.4414; 5; 1.1039
2026-01-15 17:47:44; 0.069074; 8.7113; 79; 0.5623
2026-01-15 17:47:47; 0.037602; 11.8456; 112; 0.6883
2026-01-15 17:47:51; 0.075587; 8.3556; 80; 0.4483
2026-01-15 17:47:54; 0.078623; 13.9841; 128; 0.5320
2026-01-15 17:47:58; 0.070545; 10.9154; 94; 0.4815
2026-01-15 17:48:01; 0.043439; 8.0456; 74; 0.5473
