TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 16:15:21; 0.114822; 12.5029; 16; 0.4492
2026-01-15 16:15:25; 0.241940; 9.7540; 15; 0.4191
2026-01-15 16:15:28; 0.257802; 12.4643; 25; 0.3858
2026-01-15 16:15:32; 0.273491; 11.7754; 17; 0.4715
2026-01-15 16:15:35; 0.046757; 4.9314; 14; 0.4062
2026-01-15 16:15:39; 0.100010; 7.9069; 8; 0.5135
2026-01-15 16:15:42; 0.245361; 14.6658; 12; 0.4506
2026-01-15 16:15:46; 0.110793; 8.5174; 7; 0.5013
2026-01-15 16:15:49; 0.070597; 6.8368; 8; 0.4660
2026-01-15 16:15:53; 0.187010; 12.3841; 13; 0.4705
2026-01-15 16:15:56; 0.106033; 10.3489; 20; 0.4138
2026-01-15 16:16:00; 0.101258; 10.2462; 19; 0.8156
2026-01-15 16:16:03; 0.190350; 8.5910; 11; 0.5098
2026-01-15 16:16:07; 0.005993; 0.4123; 2; 1.0799
2026-01-15 16:16:10; 0.111472; 8.3190; 24; 0.4015
2026-01-15 16:16:14; 0.070419; 11.3112; 7; 0.5468
2026-01-15 16:16:17; 0.146783; 8.0484; 19; 0.4382
2026-01-15 16:16:21; 0.140652; 13.4336; 41; 0.4490
2026-01-15 16:16:24; 0.109089; 10.3769; 22; 0.4135
2026-01-15 16:16:28; 0.095313; 7.5992; 9; 0.4743
