TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 15:45:25; 0.023704; 12.6874; 13; 0.4890
2026-01-15 15:45:28; 0.053143; 10.1085; 14; 0.5191
2026-01-15 15:45:32; 0.048971; 12.5582; 15; 0.4051
2026-01-15 15:45:35; 0.060250; 11.9726; 16; 0.5204
2026-01-15 15:45:39; 0.010140; 5.1473; 9; 0.4575
2026-01-15 15:45:42; 0.019759; 8.0172; 9; 0.5597
2026-01-15 15:45:46; 0.082949; 14.7871; 24; 0.5572
2026-01-15 15:45:49; 0.024667; 8.6944; 6; 0.5831
2026-01-15 15:45:53; 0.017086; 7.0056; 11; 0.5443
2026-01-15 15:45:56; 0.043558; 12.6659; 10; 0.5287
2026-01-15 15:46:00; 0.063062; 10.4712; 13; 0.4999
2026-01-15 15:46:03; 0.047085; 10.2719; 28; 0.6883
2026-01-15 15:46:07; 0.073001; 8.9766; 10; 0.5937
2026-01-15 15:46:10; 0.004952; 0.4000; 3; 1.1399
2026-01-15 15:46:14; 0.059681; 8.7727; 17; 0.4593
2026-01-15 15:46:17; 0.046879; 11.4122; 19; 0.6968
2026-01-15 15:46:21; 0.063077; 8.3959; 26; 0.5198
2026-01-15 15:46:24; 0.046403; 13.6759; 29; 0.5090
2026-01-15 15:46:28; 0.024342; 10.5203; 17; 0.5003
2026-01-15 15:46:31; 0.052807; 7.8524; 8; 0.5611
