TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 15:49:38; 0.050388; 12.2797; 6; 0.5982
2026-01-15 15:49:41; 0.062481; 9.1514; 4; 0.5121
2026-01-15 15:49:45; 0.067862; 11.9297; 5; 0.3637
2026-01-15 15:49:48; 0.052405; 11.6306; 5; 0.5998
2026-01-15 15:49:52; 0.015172; 4.8185; 4; 0.4699
2026-01-15 15:49:55; 0.007986; 7.2937; 3; 0.6996
2026-01-15 15:49:59; 0.060251; 14.3340; 5; 0.6077
2026-01-15 15:50:02; 0.045586; 8.3912; 4; 0.6397
2026-01-15 15:50:06; 0.021633; 6.4634; 4; 0.6675
2026-01-15 15:50:09; 0.045802; 12.2367; 4; 0.6373
2026-01-15 15:50:13; 0.034659; 10.0205; 6; 0.5981
2026-01-15 15:50:16; 0.040319; 10.0038; 4; 0.5898
2026-01-15 15:50:20; 0.066608; 8.3364; 4; 0.6998
2026-01-15 15:50:23; 0.006181; 0.4000; 2; 1.1348
2026-01-15 15:50:27; 0.041842; 7.6981; 6; 0.3733
2026-01-15 15:50:31; 0.027741; 11.3488; 3; 0.6727
2026-01-15 15:50:34; 0.046954; 7.9091; 5; 0.5177
2026-01-15 15:50:38; 0.049719; 13.3297; 5; 0.4498
2026-01-15 15:50:41; 0.043604; 10.0800; 6; 0.5180
2026-01-15 15:50:45; 0.020479; 7.2119; 4; 0.5349
