TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 16:38:57; 0.011747; 12.2929; 7; 0.4783
2026-01-15 16:39:01; 0.018456; 9.1551; 4; 0.5071
2026-01-15 16:39:04; 0.038035; 12.1320; 4; 0.3248
2026-01-15 16:39:08; 0.054006; 11.5889; 6; 0.6314
2026-01-15 16:39:11; 0.010490; 5.0525; 4; 0.5320
2026-01-15 16:39:15; 0.006267; 7.3774; 4; 0.5222
2026-01-15 16:39:18; 0.040228; 14.5160; 4; 0.5524
2026-01-15 16:39:22; 0.026685; 8.3852; 4; 0.5872
2026-01-15 16:39:25; 0.018098; 6.7222; 5; 0.6099
2026-01-15 16:39:29; 0.029718; 12.6010; 4; 0.6100
2026-01-15 16:39:32; 0.008864; 10.0459; 6; 0.5049
2026-01-15 16:39:36; 0.009397; 10.3240; 4; 0.5598
2026-01-15 16:39:40; 0.046116; 9.0590; 5; 0.7376
2026-01-15 16:39:43; 0.005770; 0.6000; 2; 1.0799
2026-01-15 16:39:47; 0.031849; 8.3569; 7; 0.3971
2026-01-15 16:39:50; 0.016788; 11.2478; 3; 0.7759
2026-01-15 16:39:54; 0.038837; 7.7352; 5; 0.5057
2026-01-15 16:39:57; 0.032614; 13.3462; 6; 0.5081
2026-01-15 16:40:01; 0.011322; 10.2466; 6; 0.5415
2026-01-15 16:40:04; 0.012768; 7.8236; 3; 0.7664
