TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 19:19:03; 0.136727; 12.7225; 110; 0.6271
2026-01-15 19:19:07; 0.213867; 16.7983; 152; 0.6786
2026-01-15 19:19:10; 0.044909; 3.4971; 31; 0.4682
2026-01-15 19:19:13; 0.116718; 14.9385; 145; 0.9463
2026-01-15 19:19:17; 0.083694; 14.0569; 125; 0.6967
2026-01-15 19:19:20; 0.130871; 13.6095; 111; 0.7900
2026-01-15 19:19:24; 0.089172; 12.6912; 113; 0.6846
2026-01-15 19:19:27; 0.063180; 11.1497; 98; 0.6351
2026-01-15 19:19:31; 0.206379; 14.5510; 120; 0.8937
2026-01-15 19:19:34; 0.102364; 18.0267; 156; 0.6124
2026-01-15 19:19:38; 0.056370; 14.0083; 127; 0.6249
2026-01-15 19:19:41; 0.059442; 11.9042; 113; 0.7554
2026-01-15 19:19:45; 0.131180; 12.6267; 102; 0.8063
2026-01-15 19:19:49; 0.120432; 16.0296; 141; 1.0648
2026-01-15 19:19:52; 0.162603; 14.9610; 127; 0.6539
2026-01-15 19:19:56; 0.121428; 9.4698; 87; 0.6166
2026-01-15 19:19:59; 0.116191; 16.9225; 152; 0.6057
2026-01-15 19:20:03; 0.179073; 21.2439; 189; 0.6340
2026-01-15 19:20:06; 0.144092; 17.0326; 156; 0.6453
2026-01-15 19:20:10; 0.185146; 19.4125; 174; 0.5191
