TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 19:14:59; 0.125458; 15.2801; 47; 0.4649
2026-01-15 19:15:03; 0.178852; 16.6917; 35; 0.5256
2026-01-15 19:15:06; 0.016587; 3.4741; 6; 0.5198
2026-01-15 19:15:10; 0.114625; 14.6998; 8; 0.6222
2026-01-15 19:15:13; 0.070565; 13.4598; 7; 0.7025
2026-01-15 19:15:17; 0.079712; 13.2756; 21; 0.7245
2026-01-15 19:15:20; 0.061536; 12.2962; 11; 0.6034
2026-01-15 19:15:24; 0.093381; 11.0337; 10; 0.4908
2026-01-15 19:15:28; 0.142043; 13.9015; 10; 0.6728
2026-01-15 19:15:31; 0.071536; 17.2630; 17; 0.6268
2026-01-15 19:15:34; 0.030853; 13.3264; 5; 0.6377
2026-01-15 19:15:38; 0.052910; 11.6182; 38; 0.6407
2026-01-15 19:15:42; 0.073957; 12.4270; 9; 0.6019
2026-01-15 19:15:45; 0.080142; 18.7995; 8; 0.6860
2026-01-15 19:15:49; 0.101841; 14.9618; 28; 0.7100
2026-01-15 19:15:52; 0.087979; 9.0616; 13; 0.5051
2026-01-15 19:15:56; 0.070623; 16.2680; 14; 0.6748
2026-01-15 19:15:59; 0.111955; 20.3510; 9; 0.6229
2026-01-15 19:16:03; 0.071574; 16.3557; 29; 0.6469
2026-01-15 19:16:06; 0.116115; 18.7815; 32; 0.5533
