TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 19:12:06; 0.072590; 12.2950; 4; 0.5425
2026-01-15 19:12:09; 0.109436; 15.0622; 6; 0.5000
2026-01-15 19:12:13; 0.010108; 3.1572; 4; 0.5350
2026-01-15 19:12:16; 0.084725; 14.3474; 4; 0.6798
2026-01-15 19:12:20; 0.067891; 13.0314; 4; 0.7448
2026-01-15 19:12:23; 0.067932; 12.7146; 6; 0.7832
2026-01-15 19:12:27; 0.053095; 11.6457; 3; 0.8000
2026-01-15 19:12:30; 0.052567; 10.6979; 4; 0.4424
2026-01-15 19:12:34; 0.032298; 13.2534; 5; 0.8620
2026-01-15 19:12:37; 0.037409; 16.5756; 5; 0.5459
2026-01-15 19:12:41; 0.048762; 13.0927; 4; 0.7199
2026-01-15 19:12:44; 0.043490; 11.4640; 4; 0.7021
2026-01-15 19:12:48; 0.030434; 11.8128; 5; 0.6299
2026-01-15 19:12:51; 0.059054; 15.0512; 6; 0.6332
2026-01-15 19:12:55; 0.065647; 12.6701; 6; 0.6683
2026-01-15 19:12:58; 0.054814; 8.7823; 4; 0.7198
2026-01-15 19:13:02; 0.090267; 15.5541; 6; 0.6066
2026-01-15 19:13:05; 0.074617; 19.8352; 5; 0.6555
2026-01-15 19:13:09; 0.092325; 15.9119; 4; 0.6273
2026-01-15 19:13:12; 0.063278; 17.3539; 6; 0.5499
