TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 21:56:57; 0.037435; 11.2083; 50; 0.5738
2026-01-15 21:57:00; 0.041158; 13.5598; 63; 0.5696
2026-01-15 21:57:04; 0.041345; 8.4426; 37; 0.5154
2026-01-15 21:57:07; 0.032053; 9.0912; 39; 0.5424
2026-01-15 21:57:11; 0.049823; 9.7598; 44; 0.5270
2026-01-15 21:57:14; 0.021814; 4.7456; 21; 0.5521
2026-01-15 21:57:18; 0.017126; 5.4770; 23; 0.6480
2026-01-15 21:57:21; 0.023507; 7.0142; 34; 0.6506
2026-01-15 21:57:25; 0.040837; 7.9941; 36; 0.6461
2026-01-15 21:57:28; 0.035895; 11.9113; 56; 0.5917
2026-01-15 21:57:32; 0.017155; 5.3941; 23; 0.6028
2026-01-15 21:57:35; 0.029534; 5.4284; 24; 0.5528
2026-01-15 21:57:39; 0.031259; 7.9941; 36; 0.6198
2026-01-15 21:57:42; 0.025667; 5.2142; 25; 0.4919
2026-01-15 21:57:46; 0.041290; 6.9941; 31; 0.5755
2026-01-15 21:57:49; 0.036918; 11.0083; 49; 0.5033
2026-01-15 21:57:53; 0.022830; 5.7456; 26; 0.5298
2026-01-15 21:57:56; 0.016242; 3.3314; 16; 0.5216
2026-01-15 21:58:00; 0.012043; 8.0971; 39; 0.5895
2026-01-15 21:58:03; 0.032939; 9.4770; 43; 0.6143
