TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 22:01:37; 0.047273; 10.7318; 16; 0.5392
2026-01-15 22:01:40; 0.060692; 13.1345; 20; 0.5333
2026-01-15 22:01:44; 0.018042; 8.0409; 13; 0.4629
2026-01-15 22:01:47; 0.041728; 8.8273; 13; 0.5082
2026-01-15 22:01:51; 0.058525; 9.2472; 18; 0.6124
2026-01-15 22:01:54; 0.026669; 4.5910; 9; 0.5909
2026-01-15 22:01:58; 0.010705; 5.2276; 12; 0.5989
2026-01-15 22:02:01; 0.010739; 6.7165; 12; 0.7064
2026-01-15 22:02:05; 0.055499; 7.7169; 13; 0.4744
2026-01-15 22:02:08; 0.042771; 11.3558; 6; 0.6130
2026-01-15 22:02:12; 0.016189; 5.0724; 6; 0.6415
2026-01-15 22:02:15; 0.042719; 5.2995; 7; 0.4813
2026-01-15 22:02:19; 0.024919; 7.4461; 5; 0.5119
2026-01-15 22:02:22; 0.032913; 5.2079; 18; 0.5077
2026-01-15 22:02:26; 0.026585; 6.6672; 8; 0.5059
2026-01-15 22:02:29; 0.063424; 10.5012; 20; 0.4773
2026-01-15 22:02:33; 0.029425; 5.4074; 7; 0.5696
2026-01-15 22:02:36; 0.022961; 3.1971; 10; 0.5158
2026-01-15 22:02:40; 0.012174; 7.7553; 4; 0.6221
2026-01-15 22:02:43; 0.043497; 9.2173; 28; 0.6440
