TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 21:43:23; 0.011206; 10.5174; 4; 0.5448
2026-01-15 21:43:26; 0.014487; 11.3317; 5; 0.5778
2026-01-15 21:43:30; 0.026902; 7.9034; 5; 0.5438
2026-01-15 21:43:33; 0.008291; 8.5107; 5; 0.6118
2026-01-15 21:43:37; 0.018028; 9.1219; 7; 0.4842
2026-01-15 21:43:41; 0.014376; 4.9568; 4; 0.7273
2026-01-15 21:43:44; 0.006508; 5.2535; 4; 0.6444
2026-01-15 21:43:48; 0.007964; 6.7082; 2; 0.7797
2026-01-15 21:43:51; 0.025881; 7.5299; 4; 0.5998
2026-01-15 21:43:55; 0.009768; 11.3255; 3; 0.5666
2026-01-15 21:43:58; 0.008626; 4.7600; 3; 0.6366
2026-01-15 21:44:02; 0.008136; 4.8600; 5; 0.4859
2026-01-15 21:44:05; 0.008538; 7.2681; 4; 0.5824
2026-01-15 21:44:09; 0.015123; 5.2214; 4; 0.5548
2026-01-15 21:44:12; 0.039064; 6.2992; 5; 0.5018
2026-01-15 21:44:16; 0.028656; 10.4420; 6; 0.4816
2026-01-15 21:44:19; 0.014372; 5.3880; 5; 0.6039
2026-01-15 21:44:23; 0.007483; 2.4367; 3; 0.5798
2026-01-15 21:44:26; 0.007132; 7.8604; 3; 0.5832
2026-01-15 21:44:30; 0.004465; 8.8943; 4; 0.5573
